symbol,name
FGP.L,FirstGroup
FSG.L,Foresight Group
FSFL.L,Foresight Solar Fund
FUTR.L,Future
GAW.L,Games Workshop Group
GCP.L,GCP Infrastructure Investments
GEN.L,Genuit Group
GNS.L,Genus
GSCT.L,Global Smaller Companies Trust
GFTU.L,Grafton Group
GRI.L,Grainger
GPE.L,Great Portland Estates
UKW.L,Greencoat UK Wind
GRG.L,Greggs
HMSO.L,Hammerson
HBR.L,Harbour Energy
HVPE.L,HarbourVest Global Private Equity
HAS.L,Hays
HTWS.L,Helios Towers
HSL.L,Henderson Smaller Companies Investment Trust
HRI.L,Herald Investment Trust
HGT.L,Hg Capital Trust
HICL.L,HICL Infrastructure Company
HILS.L,Hill & Smith
HFG.L,Hilton Food Group
SONG.L,Hipgnosis Songs Fund
HSX.L,Hiscox
HTG.L,Hunting
IBST.L,Ibstock
ICGT.L,ICG Enterprise Trust
IGG.L,IG Group Holdings
IEM.L,Impax Environmental Markets
INCH.L,Inchcape
INDV.L,Indivior
IHP.L,IntegraFin Holdings
ICP.L,Intermediate Capital Group
IDS.L,International Distributions Services
INPP.L,International Public Partnerships
INVP.L,Investec
IPO.L,IP Group
ITH.L,Ithaca Energy
ITV.L,ITV
IWG.L,IWG
JLEN.L,JLEN Environmental Assets Group
JMAT.L,Johnson Matthey
JAM.L,JPMorgan American Investment Trust
JMG.L,JPMorgan Emerging Markets Investment Trust
JEDT.L,JPMorgan European Discovery
JGGI.L,JPMorgan Global Growth & Income
JII.L,JPMorgan Indian Investment Trust
JFJ.L,JPMorgan Japanese Investment Trust
JTC.L,JTC
JUP.L,Jupiter Fund Management
JUST.L,Just Group
KNOS.L,Kainos
KLR.L,Keller Group
LRE.L,Lancashire Holdings
LWDB.L,Law Debenture
LIO.L,Liontrust Asset Management
LMP.L,LondonMetric Property
LXI.L,LXi REIT
EMG.L,Man Group
MSLH.L,Marshalls
MEGP.L,ME Group International
MRC.L,Mercantile Investment Trust
MRCH.L,Merchants Trust
MAB.L,Mitchells & Butlers
MTO.L,Mitie
MCG.L,Mobico Group
MONY.L,Moneysupermarket.com Group
MNKS.L,Monks Investment Trust
MOON.L,Moonpig
MGAM.L,Morgan Advanced Materials
MGNS.L,Morgan Sindall Group
MUT.L,Murray Income Trust
MYI.L,Murray International Trust
NBPE.L,NB Private Equity Partners
NETW.L,Network International
NESF.L,NextEnergy Solar Fund
N91.L,Ninety One
NAS.L,North Atlantic Smaller Companies Investment Trust
ORIT.L,Octopus Renewables Infrastructure Trust
OSB.L,OneSavings Bank
OXIG.L,Oxford Instruments
PHI.L,Pacific Horizon Investment Trust
PAGE.L,PageGroup
PIN.L,Pantheon International
PAG.L,Paragon Banking Group
PNN.L,Pennon Group
PSN.L,Persimmon
PNL.L,Personal Assets Trust
PHLL.L,Petershill Partners
PETS.L,Pets at Home
PTEC.L,Playtech
PLUS.L,Plus500
PCT.L,Polar Capital Technology Trust
PFD.L,Premier Foods
PHP.L,Primary Health Properties
PRTC.L,PureTech Health
PZC.L,PZ Cussons
QQ.L,QinetiQ
QLT.L,Quilter
RAT.L,Rathbones
REDD.L,Redde Northgate
RDW.L,Redrow
RSW.L,Renishaw
RHIM.L,RHI Magnesita
RCP.L,RIT Capital Partners
ROR.L,Rotork
RICA.L,Ruffer Investment Company
SAFE.L,Safestore
SVS.L,Savills
SDP.L,Schroder AsiaPacific Fund
SOI.L,Schroder Oriental Income Fund
SAIN.L,Scottish American Investment Company
SEIT.L,SDCL Energy Efficiency Income Trust
SNR.L,Senior
SEQI.L,Sequoia Economic Infrastructure Income Fund
SRP.L,Serco
SHB.L,Shaftesbury Capital
SRE.L,Sirius Real Estate
SSON.L,Smithson Investment Trust
SCT.L,Softcat
SXS.L,Spectris
SPI.L,Spire Healthcare
SPT.L,Spirent
SSPG.L,SSP Group
STEM.L,SThree
SUPR.L,Supermarket Income REIT
SYNC.L,Syncona
THRL.L,Target Healthcare REIT
TATE.L,Tate & Lyle
TBCG.L,TBC Bank
TEP.L,Telecom Plus
TMPL.L,Temple Bar Investment Trust
TEM.L,Templeton Emerging Markets Investment Trust
TRIG.L,The Renewables Infrastructure Group
TIFS.L,TI Fluid Systems
TCAP.L,TP ICAP
TRN.L,Trainline
TPK.L,Travis Perkins
BBOX.L,Tritax Big Box REIT
EBOX.L,Tritax EuroBox
TRY.L,TR Property Investment Trust
TUI.L,TUI AG
TFIF.L,Twentyfour Income Fund
TYMN.L,Tyman
UKCM.L,UK Commercial Property REIT
SHED.L,Urban Logistics REIT
VSVS.L,Vesuvius
VCT.L,Victrex
VEIL.L,Vietnam Enterprise Investments
VOF.L,VinaCapital Vietnam Opportunity Fund
VMUK.L,Virgin Money UK
VTY.L,Vistry Group
FAN.L,Volution Group
WPS.L,W. A. G. Payment Solutions
WOSG.L,Watches of Switzerland
JDW.L,Wetherspoon (J D)
SMWH.L,W H Smith
WTAN.L,Witan Investment Trust
WIZZ.L,Wizz Air
WG.L,Wood Group
WKP.L,Workspace Group
WWH.L,Worldwide Healthcare Trust
